day,total_sales,average_order_value,orders
2020-11-05,646.13,63.718,8
2020-11-06,1097.39,83.908,11
2020-11-07,894.51,75.382,10
2020-11-08,1090.08,41.539,19
2020-11-09,1865.0,80.139,20
2020-11-10,1396.66,74.511,16
2020-11-11,892.44,74.801,10
2020-11-12,1513.02,91.528,14
2020-11-13,941.61,72.877,11
2020-11-14,1992.99,108.435,17
2020-11-15,2390.61,73.792,27
2020-11-16,1640.11,81.249,17
2020-11-17,1054.52,56.754,15
2020-11-18,2382.81,88.884,23
2020-11-19,685.61,76.58,8
2020-11-20,1404.87,84.408,15
2020-11-21,1665.87,144.816,11
2020-11-22,3120.0,125.748,23
2020-11-23,1892.27,116.975,15
2020-11-24,1008.25,119.412,8
2020-11-25,759.78,116.406,6
2020-11-26,1130.03,51.947,19
2020-11-27,3041.65,84.9,34
2020-11-28,2185.19,94.774,21
2020-11-29,2845.37,94.338,28
2020-11-30,6567.71,103.723,59
2020-12-01,10417.07,92.415,25
2020-12-02,8917.39,65.527,14
2020-12-03,1339.43,72.463,16
2020-12-04,1067.31,77.52,12
2020-12-05,1442.93,68.536,19
2020-12-06,1024.58,56.418,15
2020-12-07,3446.46,100.879,31
2020-12-08,1637.17,75.687,19
2020-12-09,1931.05,78.077,22
2020-12-10,1057.31,65.557,14
2020-12-11,2393.92,109.336,20
2020-12-12,1822.57,100.828,17
2020-12-13,2703.58,83.463,29
2020-12-14,1950.26,61.109,28
2020-12-15,2895.11,64.533,38
2020-12-16,1624.27,60.447,25
2020-12-17,1726.61,55.505,26
2020-12-18,2678.01,72.753,32
2020-12-19,1838.76,68.585,24
2020-12-20,2269.18,94.16,22
2020-12-21,3202.37,129.435,23
2020-12-22,1128.91,47.198,19
2020-12-23,1328.15,47.42,23
2020-12-24,1446.5,64.853,21
2020-12-25,2111.5,104.048,19
2020-12-26,3033.72,90.032,30
2020-12-27,2242.5,74.418,26
2020-12-28,1954.15,57.025,28
2020-12-29,1942.99,80.587,21
2020-12-30,2086.78,70.758,25
2020-12-31,1734.69,106.112,15
2021-01-01,2558.39,67.884,32
2021-01-02,2192.03,66.247,28
2021-01-03,2644.09,66.187,34
2021-01-04,3962.71,87.087,40
2021-01-05,3842.75,73.605,45
2021-01-06,3203.99,60.211,43
2021-01-07,3783.99,82.563,40
2021-01-08,3290.2,78.032,38
2021-01-09,2844.17,71.637,35
2021-01-10,4421.57,108.694,37
2021-01-11,5590.98,93.777,54
2021-01-12,3233.85,58.54,47
2021-01-13,655.67,39.015,13
2021-01-14,4677.18,105.078,43
2021-01-15,4660.11,93.879,45
2021-01-16,2585.61,45.04,45
2021-01-17,3133.98,53.85,47
2021-01-18,2321.97,46.315,41
2021-01-19,1728.84,64.165,23
2021-01-20,3013.97,66.566,39
2021-01-21,3526.34,57.286,55
2021-01-22,3618.21,65.999,46
2021-01-23,2980.19,57.721,42
2021-01-24,5448.28,84.351,57
2021-01-25,5005.03,65.962,64
2021-01-26,4986.7,53.547,75
2021-01-27,5121.99,75.915,59
2021-01-28,3855.1,53.838,58
2021-01-29,3691.18,56.64,54
2021-01-30,3480.89,68.432,44
2021-01-31,3478.96,51.02,54
2021-02-01,4310.6,64.842,56
2021-02-02,5270.66,68.672,65
2021-02-03,5844.57,70.427,72
2021-02-04,4010.54,58.564,58
2021-02-05,3242.27,50.118,52
2021-02-06,4715.59,61.482,65
2021-02-07,2989.53,45.32,52
2021-02-08,4798.39,78.126,52
2021-02-09,3683.73,71.598,42
2021-02-10,3382.91,61.182,45
2021-02-11,3974.06,64.392,51
2021-02-12,4025.39,61.028,53
2021-02-13,3664.95,55.791,50
2021-02-14,4899.2,68.806,58
2021-02-15,4827.79,75.124,54
2021-02-16,3109.98,54.592,44
2021-02-17,5256.87,86.823,52
2021-02-18,7400.77,94.18,69
2021-02-19,3773.69,74.618,42
2021-02-20,5054.8,79.479,54
2021-02-21,5678.73,76.687,61
2021-02-22,1998.0,84.888,20
2021-02-23,1974.11,62.907,25
2021-02-24,4538.73,70.747,53
2021-02-25,3579.37,62.979,46
2021-02-26,4332.87,67.298,51
2021-02-27,4470.07,91.495,42
2021-02-28,4178.64,57.065,57
2021-03-01,5690.37,88.659,55
2021-03-02,4911.49,69.362,58
2021-03-03,4451.62,61.506,58
2021-03-04,5244.57,73.017,60
2021-03-05,5234.02,82.914,54
2021-03-06,4582.93,78.583,49
2021-03-07,5019.42,68.191,60
2021-03-08,6878.91,81.469,71
2021-03-09,4923.3,68.741,58
2021-03-10,3973.41,75.125,44
2021-03-11,3183.61,76.854,35
2021-03-12,5184.17,88.627,50
2021-03-13,3252.06,65.009,41
2021-03-14,4364.31,68.129,51
2021-03-15,5167.02,72.9,58
2021-03-16,4539.49,73.062,51
2021-03-17,5125.5,66.171,61
2021-03-18,4457.38,60.115,59
2021-03-19,3253.81,54.628,45
2021-03-20,3341.97,70.774,38
2021-03-21,4453.21,70.075,51
2021-03-22,5158.17,82.337,53
2021-03-23,4227.27,73.203,47
2021-03-24,6242.34,72.991,72
2021-03-25,4813.24,86.202,47
2021-03-26,3487.41,54.419,48
2021-03-27,3730.15,57.705,50
2021-03-28,5116.51,93.188,47
2021-03-29,3595.92,61.682,47
2021-03-30,4099.95,77.644,44
2021-03-31,5348.05,77.427,58
2021-04-01,8758.04,64.618,125
2021-04-02,4942.16,59.983,75
2021-04-03,4747.68,55.642,81
2021-04-04,3150.61,49.616,56
2021-04-05,4955.37,64.545,70
2021-04-06,5034.11,54.036,83
2021-04-07,14360.39,95.243,142
2021-04-08,4035.57,59.96,63
2021-04-09,5189.71,62.672,75
2021-04-10,3275.77,42.45,66
2021-04-11,5163.16,61.302,77
2021-04-12,6296.73,70.045,82
2021-04-13,6166.18,61.991,92
2021-04-14,5435.79,61.795,82
2021-04-15,4266.34,49.874,75
2021-04-16,3396.27,55.943,54
2021-04-17,4462.55,54.4,74
2021-04-18,4098.76,51.306,72
2021-04-19,4512.45,46.402,86
2021-04-20,5585.22,53.42,93
2021-04-21,4520.45,68.739,60
2021-04-22,5854.69,63.152,85
2021-04-23,13833.35,84.652,154
2021-04-24,8503.33,67.583,116
2021-04-25,5898.58,62.319,86
2021-04-26,4532.96,51.568,79
2021-04-27,3648.35,48.448,67
2021-04-28,4192.38,59.769,67
2021-04-29,2919.4,41.085,62
2021-04-30,2419.33,77.625,29
2021-05-01,7076.57,65.976,98
2021-05-02,5534.19,61.469,82
2021-05-03,4551.49,54.894,74
2021-05-04,6127.63,68.689,82
2021-05-05,6860.19,56.461,109
2021-05-06,6592.18,64.709,97
2021-05-07,6675.05,62.367,97
2021-05-08,7108.68,58.932,111
2021-05-09,7593.4,58.602,123
2021-05-10,3828.18,47.569,71
2021-05-11,3774.13,59.435,58
2021-05-12,2829.11,58.328,45
2021-05-13,5260.57,60.53,79
2021-05-14,5494.3,66.052,76
2021-05-15,2321.27,50.612,41
2021-05-16,2728.38,54.74,45
2021-05-17,3374.48,50.777,59
2021-05-18,3927.0,63.871,56
2021-05-19,4228.92,64.111,60
2021-05-20,3618.15,64.919,51
2021-05-21,5726.78,75.157,71
2021-05-22,4055.73,59.797,61
2021-05-23,3137.5,56.932,50
2021-05-24,4552.33,62.868,66
2021-05-25,4214.01,64.151,61
2021-05-26,3698.15,57.584,58
2021-05-27,4398.4,56.02,71
2021-05-28,8547.56,64.392,123
2021-05-29,8042.86,62.524,119
2021-05-30,8622.92,62.258,127
2021-05-31,8017.38,64.362,113
2021-06-01,4184.51,58.109,65
2021-06-02,3221.27,47.916,60
2021-06-03,3008.25,44.239,60
2021-06-04,5174.78,65.413,73
2021-06-05,3961.82,45.057,77
2021-06-06,4984.89,55.922,81
2021-06-07,5184.55,50.009,92
2021-06-08,5053.7,63.423,73
2021-06-09,3552.69,60.322,54
2021-06-10,3927.71,51.704,68
2021-06-11,5719.19,57.389,90
2021-06-12,5481.32,62.486,80
2021-06-13,4885.54,53.537,81
2021-06-14,4306.08,55.876,70
2021-06-15,5522.65,58.345,86
2021-06-16,3673.58,50.792,65
2021-06-17,7478.52,59.932,114
2021-06-18,7070.72,66.96,97
2021-06-19,9116.41,70.443,119
2021-06-20,6025.93,54.299,100
2021-06-21,2333.52,50.787,41
2021-06-22,4494.1,53.994,75
2021-06-23,5485.99,50.525,97
2021-06-24,5443.18,69.691,82
2021-06-25,3775.6,47.586,70
2021-06-26,5122.25,57.934,80
2021-06-27,4289.82,53.047,72
2021-06-28,12287.23,77.395,147
2021-06-29,8063.98,58.663,124
2021-06-30,6537.91,57.719,102
2021-07-01,6360.81,57.455,100
2021-07-02,7021.17,51.093,121
2021-07-03,5632.04,57.91,88
2021-07-04,5918.41,60.648,88
2021-07-05,3894.31,56.098,63
2021-07-06,4528.17,53.483,76
2021-07-07,5132.01,54.191,85
2021-07-08,5083.65,45.116,99
2021-07-09,7060.45,62.189,103
2021-07-10,4382.36,42.897,89
2021-07-11,6429.84,55.473,103
2021-07-12,5868.44,52.775,99
2021-07-13,4271.43,63.9,61
2021-07-14,3819.78,55.285,63
2021-07-15,10940.84,50.834,197
2021-07-16,4155.49,51.824,73
2021-07-17,3951.76,60.24,63
2021-07-18,4047.52,56.03,65
2021-07-19,6709.34,53.966,111
2021-07-20,6055.59,57.914,96
2021-07-21,5533.45,52.51,94
2021-07-22,3960.86,51.182,69
2021-07-23,4045.26,49.359,73
2021-07-24,3526.23,48.731,64
2021-07-25,8077.72,64.02,115
2021-07-26,5646.31,61.228,84
2021-07-27,4692.48,56.11,75
2021-07-28,3340.52,44.137,66
2021-07-29,6002.34,56.653,96
2021-07-30,4122.7,60.593,62
2021-07-31,13034.82,47.027,243
2021-08-01,5121.24,57.994,80
2021-08-02,4662.62,61.542,69
2021-08-03,5340.3,58.59,82
2021-08-04,5434.17,51.349,95
2021-08-05,4799.84,59.17,74
2021-08-06,3198.19,39.321,70
2021-08-07,3814.2,47.895,71
2021-08-08,4554.29,53.902,76
2021-08-09,15900.51,70.725,207
2021-08-10,2745.35,44.717,54
2021-08-11,4848.83,56.47,77
2021-08-12,4578.92,55.673,74
2021-08-13,7610.71,69.554,101
2021-08-14,5037.22,61.969,74
2021-08-15,3690.65,46.717,69
2021-08-16,9890.01,53.364,170
2021-08-17,10723.15,47.452,198
2021-08-18,4512.88,64.699,64
2021-08-19,4357.03,70.262,57
2021-08-20,5510.12,61.854,81
2021-08-21,4158.07,61.398,62
2021-08-22,3942.93,58.92,61
2021-08-23,3652.16,54.91,60
2021-08-24,4759.9,59.865,72
2021-08-25,3691.92,47.44,68
2021-08-26,6609.27,59.51,100
2021-08-27,14019.82,58.972,224
2021-08-28,3687.79,56.112,59
2021-08-29,4374.72,55.114,71
2021-08-30,4651.97,75.311,59
2021-08-31,3748.55,62.126,55
2021-09-01,3818.42,46.93,72
2021-09-02,5621.36,65.706,78
2021-09-03,7286.82,55.562,117
2021-09-04,4485.22,56.439,71
2021-09-05,6292.65,47.843,116
2021-09-06,5644.05,51.805,97
2021-09-07,4975.91,60.282,75
2021-09-08,3344.86,67.414,45
2021-09-09,3830.53,52.478,65
2021-09-10,3775.9,55.346,61
2021-09-11,2927.45,46.389,57
2021-09-12,2766.2,51.607,48
2021-09-13,4823.87,58.424,75
2021-09-14,5886.29,65.839,85
2021-09-15,5191.3,53.844,87
2021-09-16,8393.76,62.641,126
2021-09-17,4373.76,59.335,67
2021-09-18,6262.0,72.158,80
2021-09-19,13086.26,78.2,157
2021-09-20,5639.37,58.973,90
2021-09-21,4163.82,56.517,67
2021-09-22,3519.81,41.532,74
2021-09-23,6845.74,67.969,93
2021-09-24,2454.43,57.957,39
2021-09-25,4661.15,59.641,72
2021-09-26,4609.58,47.376,86
2021-09-27,5335.09,60.681,80
2021-09-28,3259.09,41.626,68
2021-09-29,5167.97,62.687,75
2021-09-30,19025.34,58.774,319
2021-10-01,4914.34,54.361,82
2021-10-02,1759.28,32.062,46
2021-10-03,2617.45,35.292,64
2021-10-04,6985.37,62.052,104
2021-10-05,10756.07,48.525,207
2021-10-06,3815.93,56.535,60
2021-10-07,4176.32,48.063,77
2021-10-08,3032.73,50.461,53
2021-10-09,4183.96,51.878,71
2021-10-10,4271.04,65.665,59
2021-10-11,4446.78,53.289,76
2021-10-12,4125.94,52.021,71
2021-10-13,4211.19,47.74,77
2021-10-14,8805.46,59.627,135
2021-10-15,4731.16,52.894,82
2021-10-16,4868.25,54.163,80
2021-10-17,8274.22,64.819,117
2021-10-18,5041.23,53.614,83
2021-10-19,5350.0,64.281,76
2021-10-20,5194.84,52.397,88
2021-10-21,10671.75,50.315,188
2021-10-22,4894.68,48.703,88
2021-10-23,3539.35,42.375,73
2021-10-24,4241.29,56.705,67
2021-10-25,6112.39,65.892,87
2021-10-26,10163.43,73.472,129
2021-10-27,7339.8,53.883,121
2021-10-28,4653.94,52.066,79
2021-10-29,5568.81,52.196,94
2021-10-30,3136.78,40.783,67
2021-10-31,13379.62,70.583,176
2021-11-01,4817.45,50.311,84
2021-11-02,4053.05,47.828,74
2021-11-03,5944.31,48.108,108
2021-11-04,4751.76,54.875,78
2021-11-05,5336.38,50.948,94
2021-11-06,6742.13,48.369,122
2021-11-07,4169.88,53.857,70
2021-11-08,3793.1,50.592,66
2021-11-09,4382.91,68.663,60
2021-11-10,13523.03,70.027,179
2021-11-11,5117.4,51.083,91
2021-11-12,5971.94,58.331,97
2021-11-13,4950.69,50.969,85
2021-11-14,4106.07,55.879,66
2021-11-15,5559.34,55.328,89
2021-11-16,4798.96,53.464,80
2021-11-17,6182.7,53.237,102
2021-11-18,4073.97,48.023,75
2021-11-19,4526.61,64.663,69
2021-11-20,10493.29,64.718,147
2021-11-21,8671.08,63.265,129
2021-11-22,3128.44,44.264,63
2021-11-23,3688.58,58.062,57
2021-11-24,2211.91,36.31,51
2021-11-25,6442.32,62.376,94
2021-11-26,11186.37,63.407,161
2021-11-27,6029.92,70.022,84
2021-11-28,4391.85,51.094,76
2021-11-29,17391.09,54.242,314
2021-11-30,5286.62,55.323,86
2021-12-01,4803.07,48.581,92
2021-12-02,2640.19,43.319,53
2021-12-03,3315.97,50.602,58
2021-12-04,4348.1,48.794,78
2021-12-05,7268.73,61.571,109
2021-12-06,4874.75,49.402,90
2021-12-07,4555.23,54.319,74
2021-12-08,4335.04,54.717,74
2021-12-09,4850.14,61.034,72
2021-12-10,9200.99,54.411,152
2021-12-11,5208.09,47.98,97
2021-12-12,9268.58,60.972,144
2021-12-13,4605.18,54.371,76
2021-12-14,12121.33,54.385,213
2021-12-15,5513.04,58.215,85
2021-12-16,3568.68,47.411,68
2021-12-17,3224.48,49.059,58
2021-12-18,8937.93,41.292,192
2021-12-19,8711.55,51.334,150
